date,1. open,2. high,3. low,4. close,5. volume
2021-04-16 20:00:00,160.81,161.0,160.81,160.95,3045.0
2021-04-16 19:59:00,160.9,160.9,160.81,160.81,907.0
2021-04-16 19:57:00,160.8,160.8,160.8,160.8,144.0
2021-04-16 19:56:00,160.3,160.3,160.25,160.3,1381.0
2021-04-16 19:55:00,160.25,160.3,160.25,160.25,719.0
2021-04-16 19:53:00,160.0,160.0,160.0,160.0,342.0
2021-04-16 19:52:00,159.4,159.52,159.4,159.4,587.0
2021-04-16 19:51:00,159.4,159.4,159.4,159.4,358.0
2021-04-16 19:50:00,159.9,159.9,159.4,159.4,1511.0
2021-04-16 19:49:00,160.3,160.3,159.4,159.4,2878.0
2021-04-16 19:48:00,160.9,160.9,160.9,160.9,399.0
2021-04-16 19:47:00,160.96,161.0,160.9,160.9,2533.0
2021-04-16 19:46:00,160.96,160.96,160.96,160.96,895.0
2021-04-16 19:45:00,160.51,160.51,160.51,160.51,463.0
2021-04-16 19:42:00,160.85,161.0,160.81,160.81,679.0
2021-04-16 19:41:00,160.98,161.0,160.97,161.0,776.0
2021-04-16 19:40:00,160.79,160.98,160.79,160.8,3597.0
2021-04-16 19:39:00,160.75,160.79,160.75,160.79,741.0
2021-04-16 19:38:00,160.5,160.5,160.5,160.5,1143.0
2021-04-16 19:37:00,160.29,160.29,160.29,160.29,357.0
2021-04-16 19:36:00,159.84,160.09,159.84,160.09,8383.0
2021-04-16 19:35:00,159.85,159.85,159.85,159.85,334.0
2021-04-16 19:34:00,159.88,159.88,159.88,159.88,374.0
2021-04-16 19:31:00,159.88,159.88,159.88,159.88,1027.0
2021-04-16 19:29:00,159.89,159.89,159.89,159.89,338.0
2021-04-16 19:26:00,159.78,159.78,159.78,159.78,619.0
2021-04-16 19:25:00,159.78,159.78,159.78,159.78,560.0
2021-04-16 19:22:00,159.85,159.85,159.85,159.85,303.0
2021-04-16 19:21:00,159.75,159.75,159.75,159.75,995.0
2021-04-16 19:20:00,159.7,159.9,159.7,159.75,894.0
2021-04-16 19:17:00,159.71,159.71,159.71,159.71,460.0
2021-04-16 19:16:00,159.7999,159.7999,159.7999,159.7999,247.0
2021-04-16 19:15:00,159.8,159.96,159.8,159.8,918.0
2021-04-16 19:14:00,159.94,159.96,159.8001,159.96,1050.0
2021-04-16 19:13:00,159.96,159.96,159.94,159.94,688.0
2021-04-16 19:11:00,159.8,159.8,159.8,159.8,439.0
2021-04-16 19:10:00,159.7,159.7,159.5,159.5,1142.0
2021-04-16 19:08:00,159.95,159.95,159.95,159.95,612.0
2021-04-16 19:07:00,159.75,159.75,159.75,159.75,841.0
2021-04-16 19:06:00,159.46,159.75,159.46,159.75,1317.0
2021-04-16 19:05:00,159.45,159.46,159.45,159.46,869.0
2021-04-16 19:04:00,159.45,159.45,159.45,159.45,310.0
2021-04-16 19:00:00,159.27,159.27,159.27,159.27,271.0
2021-04-16 18:57:00,159.05,159.05,159.05,159.05,345.0
2021-04-16 18:55:00,159.2,159.2,159.2,159.2,266.0
2021-04-16 18:54:00,159.05,159.05,159.05,159.05,217.0
2021-04-16 18:53:00,159.22,159.22,159.22,159.22,407.0
2021-04-16 18:52:00,159.25,159.45,159.25,159.45,932.0
2021-04-16 18:49:00,159.1,159.1,159.1,159.1,760.0
2021-04-16 18:48:00,159.1,159.4,159.1,159.4,256.0
2021-04-16 18:46:00,159.1,159.15,159.1,159.15,1118.0
2021-04-16 18:44:00,159.15,159.15,159.15,159.15,573.0
2021-04-16 18:43:00,159.15,159.15,159.15,159.15,351.0
2021-04-16 18:42:00,159.31,159.31,159.29,159.29,442.0
2021-04-16 18:41:00,159.39,159.39,159.39,159.39,1095.0
2021-04-16 18:39:00,159.03,159.03,159.0,159.0,321.0
2021-04-16 18:38:00,159.0,159.4,159.0,159.28,768.0
2021-04-16 18:36:00,158.99,159.0,158.99,159.0,840.0
2021-04-16 18:33:00,158.5,158.8,158.5,158.8,533.0
2021-04-16 18:32:00,158.84,158.94,158.84,158.94,636.0
2021-04-16 18:30:00,158.48,158.8,158.48,158.8,499.0
2021-04-16 18:29:00,158.25,158.5,158.2,158.5,1168.0
2021-04-16 18:27:00,158.0,158.0,158.0,158.0,1834.0
2021-04-16 18:26:00,158.25,158.25,158.0,158.0,1009.0
2021-04-16 18:25:00,159.0,159.0,159.0,159.0,655.0
2021-04-16 18:23:00,159.0,159.0,159.0,159.0,274.0
2021-04-16 18:22:00,159.24,159.4,159.24,159.4,825.0
2021-04-16 18:21:00,159.17,159.17,159.17,159.17,414.0
2021-04-16 18:20:00,159.4,159.4,159.4,159.4,1368.0
2021-04-16 18:19:00,159.1,159.2,159.1,159.2,794.0
2021-04-16 18:18:00,158.95,159.0,158.95,159.0,2946.0
2021-04-16 18:14:00,158.95,158.95,158.95,158.95,172.0
2021-04-16 18:12:00,158.8,158.8,158.8,158.8,618.0
2021-04-16 18:11:00,158.8,158.8,158.8,158.8,336.0
2021-04-16 18:10:00,158.6,158.8,158.6,158.8,724.0
2021-04-16 18:07:00,158.75,158.75,158.54,158.54,821.0
2021-04-16 18:04:00,158.5,158.5,158.5,158.5,1075.0
2021-04-16 18:03:00,158.0,158.0,157.7,157.7,433.0
2021-04-16 18:02:00,158.65,158.65,157.21,157.21,2449.0
2021-04-16 18:01:00,158.75,158.75,158.65,158.65,890.0
2021-04-16 17:59:00,158.88,159.0,158.88,159.0,946.0
2021-04-16 17:58:00,158.94,159.0,158.8,158.8,2682.0
2021-04-16 17:55:00,158.75,158.75,158.75,158.75,1078.0
2021-04-16 17:53:00,158.99,158.99,158.99,158.99,802.0
2021-04-16 17:52:00,158.75,158.8,158.75,158.8,1303.0
2021-04-16 17:51:00,158.51,158.7,158.44,158.7,2533.0
2021-04-16 17:50:00,158.75,158.75,158.5,158.5,980.0
2021-04-16 17:49:00,159.0,159.0,158.93,158.93,1615.0
2021-04-16 17:48:00,159.0,159.0,159.0,159.0,1058.0
2021-04-16 17:47:00,158.44,159.0,158.44,159.0,3412.0
2021-04-16 17:46:00,158.9,159.0,158.44,158.44,2757.0
2021-04-16 17:45:00,159.0,159.0,158.8,159.0,2253.0
2021-04-16 17:44:00,158.42,159.0,158.42,159.0,3310.0
2021-04-16 17:43:00,158.0,158.25,158.0,158.25,1106.0
2021-04-16 17:42:00,158.0,158.15,158.0,158.15,3366.0
2021-04-16 17:41:00,157.9,158.0,157.62,157.62,2084.0
2021-04-16 17:40:00,157.6,158.0,157.6,158.0,2090.0
2021-04-16 17:39:00,157.25,157.58,157.25,157.58,6879.0
2021-04-16 17:38:00,157.12,157.2001,157.12,157.2001,1503.0
2021-04-16 17:35:00,157.0,157.18,157.0,157.18,1287.0
2021-04-16 17:34:00,157.0,157.0,157.0,157.0,2236.0
2021-04-16 17:33:00,156.8,156.8,156.8,156.8,838.0
2021-04-16 17:32:00,157.0,157.0,157.0,157.0,931.0
2021-04-16 17:31:00,156.8,157.0,156.8,157.0,1475.0
2021-04-16 17:30:00,156.8,157.0,156.8,157.0,1060.0
2021-04-16 17:29:00,157.09,157.09,156.8,156.8,1789.0
2021-04-16 17:28:00,157.1,157.1,157.1,157.1,539.0
2021-04-16 17:27:00,157.15,157.15,157.0,157.0,1253.0
2021-04-16 17:26:00,157.0,157.1,154.69,154.69,4107.0
2021-04-16 17:25:00,157.0,157.17,157.0,157.17,1253.0
2021-04-16 17:23:00,157.0,157.0,157.0,157.0,1304.0
2021-04-16 17:22:00,157.0,157.0,157.0,157.0,1466.0
2021-04-16 17:21:00,156.8,156.8,156.8,156.8,870.0
2021-04-16 17:20:00,156.5,156.5,156.5,156.5,1633.0
2021-04-16 17:19:00,156.8,156.8,156.75,156.75,1368.0
2021-04-16 17:18:00,157.0,157.0,156.56,156.56,5833.0
2021-04-16 17:17:00,157.0,157.06,156.92,157.0,4282.0
2021-04-16 17:16:00,156.68,157.0,156.6,157.0,2850.0
2021-04-16 17:15:00,156.5,156.6,156.5,156.56,1889.0
2021-04-16 17:14:00,156.49,156.5,156.49,156.5,909.0
2021-04-16 17:13:00,156.3,156.44,156.3,156.44,4651.0
2021-04-16 17:11:00,156.35,156.35,156.3,156.3,3655.0
2021-04-16 17:10:00,156.25,156.3,156.25,156.3,1879.0
2021-04-16 17:09:00,156.25,156.3,156.25,156.3,947.0
2021-04-16 17:07:00,156.0,156.0,156.0,156.0,563.0
2021-04-16 17:06:00,156.0,156.0,156.0,156.0,260.0
2021-04-16 17:04:00,155.77,155.77,155.77,155.77,2036.0
2021-04-16 17:01:00,156.0,156.0,156.0,156.0,329.0
2021-04-16 17:00:00,156.0,156.0,156.0,156.0,831.0
2021-04-16 16:59:00,156.2999,156.2999,156.0,156.0,1586.0
2021-04-16 16:56:00,156.25,156.29,156.25,156.29,875.0
2021-04-16 16:55:00,156.0,156.25,156.0,156.25,1503.0
2021-04-16 16:54:00,155.88,155.88,155.88,155.88,1266.0
2021-04-16 16:52:00,155.88,155.88,155.88,155.88,1734.0
2021-04-16 16:51:00,155.75,155.75,155.75,155.75,571.0
2021-04-16 16:50:00,155.79,155.79,155.79,155.79,700.0
2021-04-16 16:49:00,155.54,155.7,155.54,155.7,808.0
2021-04-16 16:47:00,155.54,155.54,155.54,155.54,519.0
2021-04-16 16:46:00,155.5999,155.6,155.5999,155.6,632.0
